DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
04/01/2022;04/01/2022;aFRR;POS_00_04;0,18;0,64;1,20;0,30;0,64;1,08;80,00;0,18;0,66;1,20;-80,00;4167,00
04/01/2022;04/01/2022;aFRR;POS_04_08;0,58;2,49;4,18;0,96;2,58;4,18;-80,00;0,58;1,87;3,06;80,00;4300,00
04/01/2022;04/01/2022;aFRR;POS_08_12;1,18;8,34;15,37;3,00;8,77;15,37;-80,00;1,18;5,16;7,33;80,00;4341,00
04/01/2022;04/01/2022;aFRR;POS_12_16;0,99;6,33;10,40;2,20;6,67;10,40;-80,00;0,99;3,86;5,51;80,00;5109,00
04/01/2022;04/01/2022;aFRR;POS_16_20;2,52;17,10;20,96;6,70;17,65;20,96;-80,00;2,52;13,35;18,32;80,00;5102,00
04/01/2022;04/01/2022;aFRR;POS_20_24;0,54;3,69;4,60;1,30;3,77;4,60;-55,00;0,54;3,08;4,57;55,00;4322,00
04/01/2022;04/01/2022;aFRR;NEG_00_04;17,82;29,37;37,47;21,00;29,34;35,15;80,00;17,82;30,02;37,47;-80,00;4065,00
04/01/2022;04/01/2022;aFRR;NEG_04_08;14,36;23,56;31,00;16,33;23,54;28,25;80,00;14,36;23,79;31,00;-80,00;3920,00
04/01/2022;04/01/2022;aFRR;NEG_08_12;1,00;2,94;4,99;1,00;2,88;3,91;80,00;1,68;3,99;4,99;-80,00;3982,00
04/01/2022;04/01/2022;aFRR;NEG_12_16;0,40;2,12;4,80;0,40;2,02;3,00;80,00;1,26;3,69;4,80;-80,00;3686,00
