DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
01/01/2023;01/01/2023;aFRR;POS_00_04;0,96;2,06;2,46;1,40;2,08;2,46;73,00;0,96;1,66;2,40;-73,00;4299,00
01/01/2023;01/01/2023;aFRR;POS_04_08;1,51;2,78;3,17;2,00;2,81;3,17;78,00;1,51;2,40;3,10;-78,00;4682,00
01/01/2023;01/01/2023;aFRR;POS_08_12;2,50;4,49;5,08;3,00;4,54;5,08;41,00;2,50;3,91;5,08;-41,00;4575,00
01/01/2023;01/01/2023;aFRR;POS_12_16;1,02;2,08;2,42;1,30;2,10;2,42;73,00;1,02;1,74;2,30;-73,00;4898,00
01/01/2023;01/01/2023;aFRR;POS_16_20;4,32;9,18;10,97;7,00;9,26;10,62;80,00;4,32;7,94;10,97;-80,00;4576,00
01/01/2023;01/01/2023;aFRR;POS_20_24;3,46;7,34;8,87;5,99;7,43;8,87;50,00;3,46;6,07;8,67;-50,00;4179,00
01/01/2023;01/01/2023;aFRR;NEG_00_04;12,68;29,78;37,78;12,68;30,07;37,78;75,00;15,44;25,26;35,30;-75,00;3552,00
01/01/2023;01/01/2023;aFRR;NEG_04_08;12,39;28,82;33,64;12,39;29,12;33,64;64,00;14,16;24,77;33,00;-64,00;3843,00
01/01/2023;01/01/2023;aFRR;NEG_08_12;3,50;11,98;17,25;3,50;12,23;17,25;-4,00;5,00;9,57;17,19;4,00;3858,00
01/01/2023;01/01/2023;aFRR;NEG_12_16;3,50;10,99;13,88;3,50;11,10;13,88;29,00;5,00;9,63;13,68;-29,00;3654,00
01/01/2023;01/01/2023;aFRR;NEG_16_20;1,50;8,76;12,50;1,50;8,75;12,50;50,00;5,99;8,92;12,00;-50,00;3895,00
01/01/2023;01/01/2023;aFRR;NEG_20_24;6,13;11,95;14,50;6,13;11,97;14,05;80,00;7,45;11,70;14,50;-80,00;3636,00
02/01/2023;02/01/2023;aFRR;POS_00_04;0,89;2,22;3,01;1,54;2,26;3,01;31,00;0,89;1,78;2,90;-31,00;4497,00
02/01/2023;02/01/2023;aFRR;POS_04_08;1,21;3,74;5,61;2,39;3,83;5,61;-68,00;1,21;3,17;5,61;68,00;4351,00
02/01/2023;02/01/2023;aFRR;POS_08_12;1,91;6,00;8,66;4,00;6,15;8,66;-3,00;1,91;4,61;8,65;3,00;4445,00
02/01/2023;02/01/2023;aFRR;POS_12_16;0,99;3,38;5,62;1,90;3,47;5,62;41,00;0,99;2,23;4,30;-41,00;4130,00
02/01/2023;02/01/2023;aFRR;POS_16_20;4,42;12,58;18,74;8,66;12,67;18,74;-55,00;4,42;11,98;18,69;55,00;4415,00
02/01/2023;02/01/2023;aFRR;POS_20_24;3,47;9,03;12,46;6,90;9,23;12,46;46,00;3,47;6,48;12,00;-46,00;4286,00
02/01/2023;02/01/2023;aFRR;NEG_00_04;12,68;26,98;31,49;12,68;27,24;31,49;78,00;14,35;22,97;30,00;-78,00;3641,00
02/01/2023;02/01/2023;aFRR;NEG_04_08;12,39;25,62;36,00;12,39;25,53;36,00;-62,00;14,62;26,32;35,85;62,00;3481,00
02/01/2023;02/01/2023;aFRR;NEG_08_12;3,50;8,12;10,67;3,50;8,23;10,67;59,00;4,48;6,50;10,00;-59,00;3521,00
02/01/2023;02/01/2023;aFRR;NEG_12_16;2,90;7,44;9,50;2,90;7,46;9,50;61,00;4,90;7,07;9,35;-61,00;3387,00
02/01/2023;02/01/2023;aFRR;NEG_16_20;1,50;5,84;7,87;1,50;5,80;7,87;5,00;3,04;6,22;7,83;-5,00;3185,00
02/01/2023;02/01/2023;aFRR;NEG_20_24;5,08;9,40;11,59;6,00;9,41;11,59;7,00;5,08;9,32;11,40;-7,00;3960,00
03/01/2023;03/01/2023;aFRR;POS_00_04;1,10;2,67;3,53;1,66;2,72;3,53;-1,00;1,10;2,25;3,50;1,00;4364,00
03/01/2023;03/01/2023;aFRR;POS_04_08;1,84;4,52;5,96;3,00;4,56;5,96;-80,00;1,84;4,27;5,55;80,00;4238,00
03/01/2023;03/01/2023;aFRR;POS_08_12;3,11;8,17;10,75;5,66;8,38;10,75;-80,00;3,11;6,73;9,29;80,00;4416,00
03/01/2023;03/01/2023;aFRR;POS_12_16;1,46;4,13;5,89;3,00;4,22;5,89;-80,00;1,46;3,53;4,90;80,00;4499,00
03/01/2023;03/01/2023;aFRR;POS_16_20;6,36;15,59;18,96;11,71;15,89;18,96;-80,00;6,36;13,65;17,70;80,00;4503,00
03/01/2023;03/01/2023;aFRR;POS_20_24;4,80;10,53;15,00;8,50;10,74;15,00;-80,00;4,80;9,21;11,68;80,00;4461,00
03/01/2023;03/01/2023;aFRR;NEG_00_04;12,80;22,78;54,15;16,50;22,73;26,40;80,00;12,80;23,52;54,15;-80,00;4256,00
03/01/2023;03/01/2023;aFRR;NEG_04_08;10,44;23,68;33,24;16,39;23,67;33,24;-1,00;10,44;23,80;32,95;1,00;4041,00
03/01/2023;03/01/2023;aFRR;NEG_08_12;2,92;6,22;7,94;3,06;6,24;7,94;-41,00;2,92;6,09;7,93;41,00;4057,00
03/01/2023;03/01/2023;aFRR;NEG_12_16;2,94;5,98;8,43;3,94;5,99;8,43;-41,00;2,94;5,88;8,26;41,00;3984,00
03/01/2023;03/01/2023;aFRR;NEG_16_20;2,04;4,64;7,29;2,04;4,58;7,29;-70,00;2,29;5,02;6,65;70,00;3719,00
03/01/2023;03/01/2023;aFRR;NEG_20_24;3,47;8,58;10,66;5,00;8,66;10,66;77,00;3,47;7,29;10,00;-77,00;3886,00
04/01/2023;04/01/2023;aFRR;POS_00_04;1,38;2,58;4,10;1,50;2,61;4,10;-21,00;1,38;2,30;3,65;21,00;4663,00
04/01/2023;04/01/2023;aFRR;POS_04_08;2,28;4,11;5,13;3,00;4,14;5,13;-49,00;2,28;3,89;5,11;49,00;4626,00
04/01/2023;04/01/2023;aFRR;POS_08_12;3,93;8,13;10,86;5,30;8,28;10,86;-80,00;3,93;7,13;9,47;80,00;4409,00
04/01/2023;04/01/2023;aFRR;POS_12_16;1,92;4,34;5,63;3,00;4,46;5,63;-80,00;1,92;3,53;4,56;80,00;4632,00
04/01/2023;04/01/2023;aFRR;POS_16_20;9,42;14,07;17,67;10,40;14,09;17,67;-79,00;9,42;13,96;17,65;79,00;4507,00
04/01/2023;04/01/2023;aFRR;POS_20_24;5,68;9,42;12,02;6,99;9,50;12,02;-74,00;5,68;8,96;11,94;74,00;4634,00
