DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
04/01/2023;04/01/2023;aFRR;NEG_00_04;9,00;29,25;58,80;18,00;29,21;35,96;80,00;9,00;29,80;58,80;-80,00;3834,00
04/01/2023;04/01/2023;aFRR;NEG_04_08;11,00;32,60;53,50;19,80;32,74;53,50;51,00;11,00;30,86;53,35;-51,00;3838,00
04/01/2023;04/01/2023;aFRR;NEG_08_12;2,39;7,56;9,68;4,00;7,67;9,68;77,00;2,39;5,86;9,34;-77,00;3512,00
04/01/2023;04/01/2023;aFRR;NEG_12_16;2,03;7,58;9,20;4,00;7,71;9,20;69,00;2,03;5,71;9,19;-69,00;3682,00
04/01/2023;04/01/2023;aFRR;NEG_16_20;1,68;6,04;7,83;3,00;6,14;7,83;53,00;1,68;4,67;7,79;-53,00;3107,00
04/01/2023;04/01/2023;aFRR;NEG_20_24;3,95;10,04;15,44;6,00;10,17;12,49;80,00;3,95;8,01;15,44;-80,00;3768,00
05/01/2023;05/01/2023;aFRR;POS_00_04;1,15;2,90;3,73;2,00;2,94;3,73;29,00;1,15;2,50;3,66;-29,00;4717,00
05/01/2023;05/01/2023;aFRR;POS_04_08;1,80;4,23;4,98;3,20;4,27;4,98;60,00;1,80;3,76;4,95;-60,00;4566,00
05/01/2023;05/01/2023;aFRR;POS_08_12;3,93;7,98;8,78;6,30;8,05;8,78;21,00;3,93;7,23;8,70;-21,00;5205,00
05/01/2023;05/01/2023;aFRR;POS_12_16;2,18;4,62;6,36;3,00;4,64;6,36;-80,00;2,18;4,50;6,08;80,00;4596,00
05/01/2023;05/01/2023;aFRR;POS_16_20;6,04;16,42;26,15;9,90;16,89;26,15;-80,00;6,04;13,33;16,92;80,00;4630,00
05/01/2023;05/01/2023;aFRR;POS_20_24;4,11;11,09;20,00;7,00;11,52;20,00;-80,00;4,11;8,44;10,63;80,00;4870,00
05/01/2023;05/01/2023;aFRR;NEG_00_04;14,98;32,70;45,00;20,00;32,88;42,41;80,00;14,98;29,86;45,00;-80,00;3864,00
05/01/2023;05/01/2023;aFRR;NEG_04_08;11,00;34,82;48,91;21,00;35,06;48,91;64,00;11,00;31,52;48,80;-64,00;3892,00
05/01/2023;05/01/2023;aFRR;NEG_08_12;2,40;7,37;10,00;4,90;7,42;10,00;60,00;2,40;6,56;9,49;-60,00;3564,00
05/01/2023;05/01/2023;aFRR;NEG_12_16;3,15;6,46;8,70;3,90;6,46;7,38;80,00;3,15;6,40;8,70;-80,00;4205,00
05/01/2023;05/01/2023;aFRR;NEG_16_20;1,34;4,82;5,98;2,80;4,84;5,90;80,00;1,34;4,53;5,98;-80,00;3839,00
05/01/2023;05/01/2023;aFRR;NEG_20_24;3,36;8,31;10,80;4,87;8,31;9,83;80,00;3,36;8,31;10,80;-80,00;4028,00
06/01/2023;06/01/2023;aFRR;POS_00_04;1,58;2,90;3,50;2,24;2,94;3,50;1,00;1,58;2,45;3,41;-1,00;4373,00
06/01/2023;06/01/2023;aFRR;POS_04_08;0,88;3,84;4,32;0,88;3,88;4,32;45,00;2,09;3,40;4,20;-45,00;4434,00
06/01/2023;06/01/2023;aFRR;POS_08_12;3,72;6,93;7,57;5,60;7,03;7,57;-36,00;3,72;6,23;7,42;36,00;4859,00
06/01/2023;06/01/2023;aFRR;POS_12_16;2,36;4,39;5,00;3,63;4,43;5,00;20,00;2,36;3,90;4,98;-20,00;4888,00
06/01/2023;06/01/2023;aFRR;POS_16_20;8,40;15,58;17,09;12,45;15,88;17,09;0,00;8,40;12,76;16,98;0,00;4998,00
06/01/2023;06/01/2023;aFRR;POS_20_24;5,40;10,45;11,66;8,45;10,69;11,66;-42,00;5,40;8,64;11,64;42,00;5126,00
06/01/2023;06/01/2023;aFRR;NEG_00_04;16,50;23,06;35,00;16,50;22,75;25,06;80,00;17,31;27,98;35,00;-80,00;3983,00
06/01/2023;06/01/2023;aFRR;NEG_04_08;16,94;25,88;40,00;16,94;25,71;29,71;80,00;18,90;28,83;40,00;-80,00;3983,00
06/01/2023;06/01/2023;aFRR;NEG_08_12;3,53;6,55;7,82;4,00;6,59;7,34;80,00;3,53;5,98;7,82;-80,00;3425,00
06/01/2023;06/01/2023;aFRR;NEG_12_16;2,70;5,92;7,90;4,00;5,93;6,70;80,00;2,70;5,71;7,90;-80,00;3352,00
06/01/2023;06/01/2023;aFRR;NEG_16_20;1,86;4,35;5,44;3,00;4,37;4,99;80,00;1,86;4,04;5,44;-80,00;3479,00
06/01/2023;06/01/2023;aFRR;NEG_20_24;3,45;7,08;9,02;6,00;7,08;7,97;80,00;3,45;7,14;9,02;-80,00;3839,00
07/01/2023;07/01/2023;aFRR;POS_00_04;1,45;2,74;3,51;2,00;2,78;3,51;1,00;1,45;2,41;3,51;-1,00;4317,00
07/01/2023;07/01/2023;aFRR;POS_04_08;1,73;3,52;3,91;2,70;3,56;3,91;29,00;1,73;3,13;3,90;-29,00;4300,00
07/01/2023;07/01/2023;aFRR;POS_08_12;2,91;6,07;6,57;4,88;6,12;6,57;36,00;2,91;5,47;6,57;-36,00;4900,00
07/01/2023;07/01/2023;aFRR;POS_12_16;2,09;3,77;4,12;2,72;3,80;4,12;69,00;2,09;3,30;3,96;-69,00;4898,00
07/01/2023;07/01/2023;aFRR;POS_16_20;7,10;12,13;14,09;9,60;12,17;14,09;-56,00;7,10;11,83;14,05;56,00;4919,00
07/01/2023;07/01/2023;aFRR;POS_20_24;5,23;8,97;10,39;7,12;9,06;10,39;-67,00;5,23;8,42;10,35;67,00;4552,00
07/01/2023;07/01/2023;aFRR;NEG_00_04;8,75;16,91;30,60;14,34;16,60;19,20;80,00;8,75;21,94;30,60;-80,00;4055,00
07/01/2023;07/01/2023;aFRR;NEG_04_08;8,74;18,31;29,73;11,06;18,01;21,51;80,00;8,74;23,01;29,73;-80,00;4145,00
07/01/2023;07/01/2023;aFRR;NEG_08_12;2,95;5,32;6,90;3,16;5,31;6,12;80,00;2,95;5,41;6,90;-80,00;4237,00
07/01/2023;07/01/2023;aFRR;NEG_12_16;2,40;5,17;6,22;2,40;5,17;5,98;80,00;2,67;5,15;6,22;-80,00;4375,00
07/01/2023;07/01/2023;aFRR;NEG_16_20;2,03;4,19;4,82;2,08;4,22;4,82;59,00;2,03;3,76;4,70;-59,00;4450,00
07/01/2023;07/01/2023;aFRR;NEG_20_24;2,85;8,65;11,86;2,85;8,80;11,86;34,00;2,91;6,99;10,00;-34,00;3845,00
08/01/2023;08/01/2023;aFRR;POS_00_04;1,34;2,58;3,13;1,91;2,60;3,13;24,00;1,34;2,35;3,00;-24,00;4596,00
08/01/2023;08/01/2023;aFRR;POS_04_08;1,64;2,95;3,40;1,92;2,96;3,31;80,00;1,64;2,76;3,40;-80,00;4570,00
08/01/2023;08/01/2023;aFRR;POS_08_12;2,64;5,22;5,86;3,98;5,26;5,79;80,00;2,64;4,53;5,86;-80,00;4587,00
08/01/2023;08/01/2023;aFRR;POS_12_16;1,63;3,04;3,78;2,38;3,04;3,38;80,00;1,63;2,91;3,78;-80,00;4982,00
08/01/2023;08/01/2023;aFRR;POS_16_20;4,10;10,26;12,02;8,03;10,39;12,02;-70,00;4,10;9,36;12,01;70,00;4834,00
08/01/2023;08/01/2023;aFRR;POS_20_24;3,69;8,01;9,30;6,26;8,10;9,30;-60,00;3,69;7,36;9,27;60,00;4537,00
08/01/2023;08/01/2023;aFRR;NEG_00_04;6,23;21,81;33,32;12,00;21,87;27,18;80,00;6,23;20,73;33,32;-80,00;3783,00
08/01/2023;08/01/2023;aFRR;NEG_04_08;6,59;21,74;32,00;12,00;21,76;27,01;80,00;6,59;21,40;32,00;-80,00;3808,00
08/01/2023;08/01/2023;aFRR;NEG_08_12;1,96;6,05;8,27;2,00;6,10;8,27;74,00;1,96;5,24;8,10;-74,00;3836,00
08/01/2023;08/01/2023;aFRR;NEG_12_16;2,00;5,02;22,11;2,00;4,97;6,00;80,00;2,22;5,85;22,11;-80,00;4074,00
08/01/2023;08/01/2023;aFRR;NEG_16_20;1,00;4,09;10,11;1,00;4,11;4,79;80,00;1,99;3,84;10,11;-80,00;4187,00
08/01/2023;08/01/2023;aFRR;NEG_20_24;2,77;6,98;14,11;2,77;6,93;8,08;80,00;5,24;7,74;14,11;-80,00;3849,00
09/01/2023;09/01/2023;aFRR;POS_00_04;1,23;2,72;3,51;2,00;2,72;3,36;80,00;1,23;2,66;3,51;-80,00;4607,00
09/01/2023;09/01/2023;aFRR;POS_04_08;1,16;3,85;5,00;2,40;3,87;5,00;52,00;1,16;3,52;4,99;-52,00;4385,00
09/01/2023;09/01/2023;aFRR;POS_08_12;2,19;6,98;9,77;3,70;7,25;9,77;-80,00;2,19;5,11;8,20;80,00;4487,00
09/01/2023;09/01/2023;aFRR;POS_12_16;1,13;3,81;5,54;2,20;3,86;5,54;-60,00;1,13;3,41;5,47;60,00;4660,00
09/01/2023;09/01/2023;aFRR;POS_16_20;4,39;14,55;18,98;7,70;15,43;18,98;-80,00;4,39;8,85;13,28;80,00;4688,00
09/01/2023;09/01/2023;aFRR;POS_20_24;3,59;10,34;13,75;5,60;10,83;13,75;-80,00;3,59;7,13;8,97;80,00;4387,00
09/01/2023;09/01/2023;aFRR;NEG_00_04;11,76;21,71;31,00;15,00;21,68;30,70;80,00;11,76;22,20;31,00;-80,00;3837,00
09/01/2023;09/01/2023;aFRR;NEG_04_08;13,21;21,85;32,52;14,70;21,74;32,52;70,00;13,21;23,58;32,20;-70,00;4010,00
09/01/2023;09/01/2023;aFRR;NEG_08_12;2,50;4,93;6,73;2,50;4,91;6,73;72,00;3,34;5,25;6,50;-72,00;3451,00
09/01/2023;09/01/2023;aFRR;NEG_12_16;2,40;4,23;6,50;2,78;4,20;5,04;80,00;2,40;4,82;6,50;-80,00;3499,00
09/01/2023;09/01/2023;aFRR;NEG_16_20;2,00;3,48;4,50;2,46;3,47;4,19;80,00;2,00;3,60;4,50;-80,00;3716,00
09/01/2023;09/01/2023;aFRR;NEG_20_24;1,49;5,99;9,00;1,49;5,95;7,19;80,00;2,83;6,55;9,00;-80,00;3706,00
10/01/2023;10/01/2023;aFRR;POS_00_04;1,37;2,63;3,04;2,00;2,64;3,04;75,00;1,37;2,48;3,04;-75,00;4341,00
10/01/2023;10/01/2023;aFRR;POS_04_08;1,93;4,10;4,83;3,10;4,16;4,83;57,00;1,93;3,37;4,56;-57,00;4208,00
10/01/2023;10/01/2023;aFRR;POS_08_12;3,78;8,96;13,28;5,39;9,27;13,28;-80,00;3,78;6,75;8,98;80,00;4381,00
10/01/2023;10/01/2023;aFRR;POS_12_16;2,28;4,19;4,94;2,91;4,23;4,94;-54,00;2,28;3,85;4,84;54,00;4670,00
10/01/2023;10/01/2023;aFRR;POS_16_20;6,42;13,25;14,95;6,42;13,44;14,95;27,00;6,50;11,12;14,88;-27,00;4733,00
10/01/2023;10/01/2023;aFRR;POS_20_24;4,50;9,59;11,80;5,26;9,76;11,80;-80,00;4,50;8,49;11,36;80,00;4453,00
10/01/2023;10/01/2023;aFRR;NEG_00_04;10,08;20,09;27,00;11,92;20,09;22,92;80,00;10,08;20,08;27,00;-80,00;3692,00
10/01/2023;10/01/2023;aFRR;NEG_04_08;10,89;19,64;27,00;14,99;19,60;21,65;80,00;10,89;20,25;27,00;-80,00;3754,00
10/01/2023;10/01/2023;aFRR;NEG_08_12;1,81;4,52;5,43;2,50;4,56;5,27;80,00;1,81;3,98;5,43;-80,00;3906,00
10/01/2023;10/01/2023;aFRR;NEG_12_16;1,77;3,73;5,80;2,70;3,70;4,39;80,00;1,77;4,13;5,80;-80,00;3650,00
10/01/2023;10/01/2023;aFRR;NEG_16_20;1,50;3,12;4,06;2,00;3,13;3,63;80,00;1,50;2,92;4,06;-80,00;3352,00
10/01/2023;10/01/2023;aFRR;NEG_20_24;2,50;6,19;9,44;2,50;6,18;9,44;58,00;2,52;6,32;9,00;-58,00;3666,00
11/01/2023;11/01/2023;aFRR;POS_00_04;1,36;2,91;5,24;1,96;2,94;5,24;-41,00;1,36;2,64;4,50;41,00;4511,00
11/01/2023;11/01/2023;aFRR;POS_04_08;2,11;4,05;5,06;3,03;4,12;5,06;-24,00;2,11;3,43;4,75;24,00;4192,00
11/01/2023;11/01/2023;aFRR;POS_08_12;3,78;8,83;10,10;6,00;9,01;10,10;-73,00;3,78;7,57;10,03;73,00;4908,00
11/01/2023;11/01/2023;aFRR;POS_12_16;1,90;3,98;4,44;1,90;4,03;4,44;-38,00;2,16;3,56;4,42;38,00;4405,00
11/01/2023;11/01/2023;aFRR;POS_16_20;5,94;13,16;15,10;8,40;13,57;15,10;-80,00;5,94;10,43;13,16;80,00;4516,00
11/01/2023;11/01/2023;aFRR;POS_20_24;4,44;10,34;14,61;7,98;10,70;14,61;-80,00;4,44;8,00;9,83;80,00;4511,00
11/01/2023;11/01/2023;aFRR;NEG_00_04;9,82;29,13;38,46;12,00;29,79;38,46;48,00;9,82;21,01;36,22;-48,00;3805,00
11/01/2023;11/01/2023;aFRR;NEG_04_08;8,39;30,16;40,74;12,00;30,90;40,74;46,00;8,39;20,84;38,00;-46,00;3938,00
11/01/2023;11/01/2023;aFRR;NEG_08_12;2,00;4,52;5,80;2,00;4,57;5,80;0,00;2,13;4,07;5,79;0,00;3873,00
11/01/2023;11/01/2023;aFRR;NEG_12_16;1,63;3,50;5,00;2,00;3,50;4,14;80,00;1,63;3,56;5,00;-80,00;4129,00
11/01/2023;11/01/2023;aFRR;NEG_16_20;1,39;2,66;3,22;1,70;2,67;3,09;80,00;1,39;2,58;3,22;-80,00;3890,00
11/01/2023;11/01/2023;aFRR;NEG_20_24;2,94;6,50;7,90;4,00;6,53;7,72;80,00;2,94;5,94;7,90;-80,00;3786,00
12/01/2023;12/01/2023;aFRR;POS_00_04;1,33;3,57;4,60;2,40;3,63;4,60;-2,00;1,33;3,11;4,50;2,00;4494,00
12/01/2023;12/01/2023;aFRR;POS_04_08;2,01;3,78;4,31;3,20;3,82;4,31;47,00;2,01;3,25;4,25;-47,00;4335,00
12/01/2023;12/01/2023;aFRR;POS_08_12;4,26;8,26;8,97;6,20;8,39;8,97;-59,00;4,26;7,21;8,94;59,00;4416,00
12/01/2023;12/01/2023;aFRR;POS_12_16;1,87;3,58;3,92;2,85;3,63;3,92;-53,00;1,87;3,16;3,87;53,00;4993,00
12/01/2023;12/01/2023;aFRR;POS_16_20;6,43;12,87;13,99;9,10;13,15;13,99;-56,00;6,43;10,83;13,90;56,00;4644,00
12/01/2023;12/01/2023;aFRR;POS_20_24;4,50;10,43;12,50;8,00;10,78;12,50;-80,00;4,50;8,24;11,22;80,00;4740,00
12/01/2023;12/01/2023;aFRR;NEG_00_04;14,70;30,56;39,20;17,00;30,96;39,20;38,00;14,70;26,07;39,00;-38,00;3759,00
12/01/2023;12/01/2023;aFRR;NEG_04_08;13,73;28,26;32,49;19,99;28,62;32,49;68,00;13,73;23,00;32,34;-68,00;3711,00
12/01/2023;12/01/2023;aFRR;NEG_08_12;2,00;4,73;5,35;2,00;4,77;5,35;42,00;2,20;4,22;5,30;-42,00;3597,00
12/01/2023;12/01/2023;aFRR;NEG_12_16;1,59;3,48;4,49;2,00;3,51;3,90;80,00;1,59;3,03;4,49;-80,00;3081,00
12/01/2023;12/01/2023;aFRR;NEG_16_20;1,00;2,39;2,88;1,00;2,40;2,88;48,00;1,10;2,14;2,80;-48,00;3605,00
12/01/2023;12/01/2023;aFRR;NEG_20_24;2,00;6,07;7,50;2,00;6,09;7,24;80,00;3,52;5,78;7,50;-80,00;3664,00
13/01/2023;13/01/2023;aFRR;POS_00_04;1,61;3,21;3,68;2,68;3,26;3,68;30,00;1,61;2,68;3,66;-30,00;4515,00
13/01/2023;13/01/2023;aFRR;POS_04_08;1,78;3,28;3,77;2,72;3,34;3,77;-30,00;1,78;2,76;3,72;30,00;4299,00
13/01/2023;13/01/2023;aFRR;POS_08_12;3,89;7,73;9,26;5,90;7,86;9,26;-80,00;3,89;6,89;8,50;80,00;4824,00
13/01/2023;13/01/2023;aFRR;POS_12_16;1,64;3,18;3,42;2,45;3,22;3,42;-1,00;1,64;2,81;3,40;1,00;4918,00
13/01/2023;13/01/2023;aFRR;POS_16_20;6,35;11,99;13,00;8,90;12,17;13,00;-69,00;6,35;10,76;13,00;69,00;4982,00
13/01/2023;13/01/2023;aFRR;POS_20_24;5,57;10,20;12,00;7,00;10,35;12,00;-80,00;5,57;9,24;11,52;80,00;4781,00
13/01/2023;13/01/2023;aFRR;NEG_00_04;16,86;36,70;68,92;19,00;36,94;68,92;13,00;16,86;34,35;66,63;-13,00;3868,00
13/01/2023;13/01/2023;aFRR;NEG_04_08;11,79;26,77;36,00;17,47;27,04;36,00;28,00;11,79;23,61;35,70;-28,00;3941,00
13/01/2023;13/01/2023;aFRR;NEG_08_12;2,52;4,20;4,94;3,00;4,22;4,94;69,00;2,52;3,91;4,90;-69,00;3343,00
13/01/2023;13/01/2023;aFRR;NEG_12_16;1,72;5,56;13,62;1,92;5,68;13,62;-13,00;1,72;4,49;12,97;13,00;3183,00
13/01/2023;13/01/2023;aFRR;NEG_16_20;1,05;2,24;2,71;1,19;2,26;2,71;44,00;1,05;2,04;2,66;-44,00;3358,00
13/01/2023;13/01/2023;aFRR;NEG_20_24;2,90;6,86;11,30;3,27;6,95;11,30;24,00;2,90;5,96;10,13;-24,00;4037,00
14/01/2023;14/01/2023;aFRR;POS_00_04;1,45;2,92;3,36;1,85;2,96;3,36;-20,00;1,45;2,60;3,24;20,00;4443,00
14/01/2023;14/01/2023;aFRR;POS_04_08;1,39;2,97;3,36;2,33;3,05;3,36;-41,00;1,39;2,38;3,35;41,00;4387,00
14/01/2023;14/01/2023;aFRR;POS_08_12;3,51;6,95;7,67;4,00;7,05;7,67;-79,00;3,51;6,34;7,66;79,00;4863,00
14/01/2023;14/01/2023;aFRR;POS_12_16;1,40;2,83;3,24;1,78;2,87;3,24;21,00;1,40;2,46;3,21;-21,00;4329,00
14/01/2023;14/01/2023;aFRR;POS_16_20;5,81;10,18;11,20;8,00;10,27;11,19;-14,00;5,81;9,39;11,20;14,00;5086,00
14/01/2023;14/01/2023;aFRR;POS_20_24;4,95;9,32;10,11;6,00;9,45;10,11;-47,00;4,95;8,32;10,03;47,00;4562,00
14/01/2023;14/01/2023;aFRR;NEG_00_04;18,13;30,48;46,00;21,00;30,35;36,61;80,00;18,13;32,56;46,00;-80,00;3992,00
14/01/2023;14/01/2023;aFRR;NEG_04_08;12,07;23,25;32,22;16,20;23,22;29,40;80,00;12,07;23,80;32,22;-80,00;3893,00
14/01/2023;14/01/2023;aFRR;NEG_08_12;1,76;5,75;7,73;2,22;5,88;7,73;40,00;1,76;4,19;7,41;-40,00;3995,00
14/01/2023;14/01/2023;aFRR;NEG_12_16;1,71;8,54;12,00;2,00;8,63;12,00;60,00;1,71;7,30;12,00;-60,00;4036,00
14/01/2023;14/01/2023;aFRR;NEG_16_20;1,00;5,04;7,50;1,00;5,23;7,50;35,00;1,06;2,68;7,00;-35,00;3821,00
14/01/2023;14/01/2023;aFRR;NEG_20_24;3,14;11,81;18,35;5,00;12,18;18,35;33,00;3,14;7,79;14,00;-33,00;3817,00
15/01/2023;15/01/2023;aFRR;POS_00_04;1,34;2,66;2,94;2,00;2,68;2,94;78,00;1,34;2,40;2,81;-78,00;4473,00
15/01/2023;15/01/2023;aFRR;POS_04_08;1,40;2,64;2,97;2,00;2,69;2,97;-15,00;1,40;2,18;2,93;15,00;4430,00
15/01/2023;15/01/2023;aFRR;POS_08_12;2,00;5,97;6,46;2,00;6,04;6,46;34,00;3,30;5,26;6,41;-34,00;4457,00
